"","CO_CURSO","NO_IES","DROPOUT_RATE"
"1",36,"UNIVERSIDADE FEDERAL DE MATO GROSSO",0.0576923076923077
"2",127,"UNIVERSIDADE DE BRASÍLIA",0.045045045045045
"3",317,"UNIVERSIDADE FEDERAL DE SERGIPE",0.115384615384615
"4",513,"UNIVERSIDADE FEDERAL DO PIAUÍ",0.0144927536231884
"5",594,"UNIVERSIDADE FEDERAL DE OURO PRETO",0.127906976744186
"6",614,"UNIVERSIDADE FEDERAL DE SÃO CARLOS",0.0714285714285714
"7",703,"UNIVERSIDADE FEDERAL DE VIÇOSA",0.0377358490566038
"8",778,"UNIVERSIDADE ESTADUAL DE LONDRINA",0.025
"9",865,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ",0.0684931506849315
"10",968,"UNIVERSIDADE CATÓLICA DE PERNAMBUCO",0.260162601626016
"11",1110,"UNIVERSIDADE DE CAXIAS DO SUL",0.162790697674419
"12",1452,"UNIVERSIDADE FEDERAL DE UBERLÂNDIA",0.0348837209302326
"13",1721,"UNIVERSIDADE DE PASSO FUNDO",0.25
"14",1904,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL",0.102803738317757
"15",2090,"UNIVERSIDADE FEEVALE",0.0263157894736842
"16",2310,"UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO",0.142857142857143
"17",2717,"UNIVERSIDADE ESTADUAL DE CAMPINAS",0.0666666666666667
"18",3190,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO",0.108108108108108
"19",3197,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO",0.0967741935483871
"20",3211,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO",0.0172413793103448
"21",3531,"ESCOLA DE ENGENHARIA DE PIRACICABA",0.25
"22",3676,"UNIVERSIDADE REGIONAL DE BLUMENAU",0.152777777777778
"23",3858,"UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ",0.214285714285714
"24",3935,"UNIVERSIDADE DO VALE DO ITAJAÍ",0.202127659574468
"25",4547,"CENTRO UNIVERSITÁRIO DO TRIÂNGULO",0.285714285714286
"26",5079,"UNIVERSIDADE VEIGA DE ALMEIDA",0.0265957446808511
"27",5485,"UNIVERSIDADE SÃO JUDAS TADEU",0.312925170068027
"28",5841,"UNIVERSIDADE CRUZEIRO DO SUL",0.276729559748428
"29",6491,"UNIVERSIDADE DO OESTE PAULISTA",0.0625
"30",6756,"UNIVERSIDADE DE SANTA CRUZ DO SUL",0.145454545454545
"31",7292,"UNIVERSIDADE PAULISTA",0.225
"32",7511,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS",0.0782122905027933
"33",8340,"UNIVERSIDADE CATÓLICA DE BRASÍLIA",0.0161290322580645
"34",9302,"UNIVERSIDADE LUTERANA DO BRASIL",0.0666666666666667
"35",9311,"UNIVERSIDADE LUTERANA DO BRASIL",0.135135135135135
"36",10159,"UNIVERSIDADE DE FRANCA",0.111111111111111
"37",10814,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS",0.131782945736434
"38",11238,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO",0.0810810810810811
"39",11452,"UNIVERSIDADE FEDERAL DO MARANHÃO",0.0123456790123457
"40",11730,"UNIVERSIDADE DE FORTALEZA",0.146788990825688
"41",12581,"UNIVERSIDADE FEDERAL DO PARANÁ",0.0588235294117647
"42",12710,"UNIVERSIDADE FEDERAL FLUMINENSE",0.181818181818182
"43",12837,"UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO",0.0851063829787234
"44",13216,"UNIVERSIDADE FEDERAL DE ALAGOAS",0.0238095238095238
"45",13277,"UNIVERSIDADE FEDERAL DA BAHIA",0.0909090909090909
"46",13446,"UNIVERSIDADE FEDERAL DE CAMPINA GRANDE",0.0390243902439024
"47",13717,"UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL",0.0869565217391304
"48",13881,"UNIVERSIDADE FEDERAL DE SANTA MARIA",0.260869565217391
"49",13980,"UNIVERSIDADE FEDERAL DO CEARÁ",0.0579710144927536
"50",14098,"UNIVERSIDADE FEDERAL DE GOIÁS",0.0108695652173913
"51",14137,"UNIVERSIDADE FEDERAL DE GOIÁS",0.0285714285714286
"52",14217,"UNIVERSIDADE FEDERAL DE SANTA CATARINA",0.03125
"53",15002,"UNIVERSIDADE FEDERAL DE PELOTAS",0.100917431192661
"54",15103,"UNIVERSIDADE LA SALLE",0.0833333333333333
"55",15555,"UNIVERSIDADE ANHANGUERA",0.246753246753247
"56",15869,"UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL",0.0348837209302326
"57",17937,"UNIVERSIDADE DO EXTREMO SUL CATARINENSE",0.072463768115942
"58",18001,"CENTRO UNIVERSITÁRIO EURÍPEDES DE MARÍLIA",0.0869565217391304
"59",18149,"FACULDADES DOCTUM DE CARATINGA",0.2
"60",18162,"CENTRO UNIVERSITÁRIO DE BRASÍLIA",0.00847457627118644
"61",18250,"CENTRO UNIVERSITÁRIO DO ESTADO DO PARÁ",0.0952380952380952
"62",18251,"UNIVERSIDADE FEDERAL DE ITAJUBÁ - UNIFEI",0.0263157894736842
"63",18280,"CENTRO UNIVERSITÁRIO FACVEST",0.181818181818182
"64",18335,"UNIVERSIDADE FEDERAL DE LAVRAS",0.0943396226415094
"65",18584,"UNIVERSIDADE ESTADUAL VALE DO ACARAÚ",0.0196078431372549
"66",18585,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS",0.0857142857142857
"67",18624,"UNIVERSIDADE CATÓLICA DE SANTOS",0.378378378378378
"68",18683,"UNIVERSIDADE TIRADENTES",0.122222222222222
"69",18698,"UNIVERSIDADE PAULISTA",0.26219512195122
"70",18790,"CENTRO UNIVERSITÁRIO ESPÍRITO-SANTENSE/FAESA",0.111111111111111
