"","CO_CURSO","NO_IES","DROPOUT_RATE"
"1",136,"UNIVERSIDADE DE BRASÍLIA",0.0434782608695652
"2",294,"UNIVERSIDADE FEDERAL DE SERGIPE",0.07
"3",383,"UNIVERSIDADE FEDERAL DO AMAZONAS",0.0192307692307692
"4",512,"UNIVERSIDADE FEDERAL DO PIAUÍ",0.0138888888888889
"5",586,"UNIVERSIDADE FEDERAL DE OURO PRETO",0.0506329113924051
"6",615,"UNIVERSIDADE FEDERAL DE SÃO CARLOS",0.111111111111111
"7",689,"UNIVERSIDADE FEDERAL DE VIÇOSA",0.0853658536585366
"8",863,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ",0.0342857142857143
"9",964,"UNIVERSIDADE CATÓLICA DE PERNAMBUCO",0.419354838709677
"10",1038,"UNIVERSIDADE FEDERAL DO RIO GRANDE",0.0135135135135135
"11",1448,"UNIVERSIDADE FEDERAL DE UBERLÂNDIA",0.0449438202247191
"12",1635,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS",0.01
"13",1748,"UNIVERSIDADE DE PASSO FUNDO",0.180555555555556
"14",1886,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL",0.0310077519379845
"15",2023,"UNIVERSIDADE PRESBITERIANA MACKENZIE",0.00823045267489712
"16",2538,"FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA",0.0133333333333333
"17",2692,"UNIVERSIDADE ESTADUAL DE CAMPINAS",0.135135135135135
"18",3194,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO",0.05
"19",3530,"ESCOLA DE ENGENHARIA DE PIRACICABA",0.26271186440678
"20",4308,"FACULDADES INTEGRADAS DE ARARAQUARA",0.135135135135135
"21",5066,"UNIVERSIDADE VEIGA DE ALMEIDA",0.018018018018018
"22",5486,"UNIVERSIDADE SÃO JUDAS TADEU",0.25
"23",5584,"CENTRO UNIVERSITÁRIO MOURA LACERDA",0.3875
"24",5844,"UNIVERSIDADE CRUZEIRO DO SUL",0.252525252525253
"25",6488,"UNIVERSIDADE DO OESTE PAULISTA",0.0138888888888889
"26",6569,"UNIVERSIDADE DO VALE DO PARAÍBA",0.0444444444444444
"27",6629,"CENTRO UNIVERSITÁRIO AUGUSTO MOTTA",0.0145985401459854
"28",7447,"CENTRO UNIVERSITÁRIO DE LINS",0.102564102564103
"29",7494,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS",0.0426829268292683
"30",8063,"UNIVERSIDADE DA AMAZÔNIA",0.337662337662338
"31",8434,"UNIVERSIDADE DE PERNAMBUCO",0.00943396226415094
"32",8784,"UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES",0.22
"33",9287,"UNIVERSIDADE LUTERANA DO BRASIL",0.320754716981132
"34",9985,"CENTRO UNIVERSITÁRIO DE VOLTA REDONDA",0.215384615384615
"35",10061,"UNIVERSIDADE DO SUL DE SANTA CATARINA",0.217391304347826
