"","CO_CURSO","NO_IES","DROPOUT_RATE"
"73",19486,"UNIVERSIDADE ESTADUAL DE CAMPINAS",0.0416666666666667
"74",19532,"UNIVERSIDADE PAULISTA",0.276470588235294
"75",20026,"UNIVERSIDADE SALVADOR",0.215686274509804
"76",20266,"UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA",0.194444444444444
"77",20752,"FACULDADE DE CIÊNCIAS ECONÔMICAS",0.0149253731343284
"78",20764,"UNIVERSIDADE FEDERAL DE SERGIPE",0.20952380952381
"79",21882,"UNIVERSIDADE ESTADUAL DE GOIÁS",0.26530612244898
"80",38206,"UNIVERSIDADE FEDERAL DO CEARÁ",0.106382978723404
"81",41054,"UNIVERSIDADE FEDERAL DE SANTA MARIA",0.0384615384615385
"82",49315,"ESCOLA BRASILEIRA DE ECONOMIA E FINANÇAS",0.12280701754386
"83",49468,"UNIVERSIDADE FEDERAL DO PARANÁ",0.0222222222222222
"84",50158,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ",0.282051282051282
"85",51618,"UNIVERSIDADE DO ESTADO DE MATO GROSSO",0.176470588235294
"86",58198,"Universidade Estadual do Paraná",0.2
"87",63414,"ESCOLA DE ECONOMIA DE SÃO PAULO",0.133333333333333
"88",66277,"UNIVERSIDADE NOVE DE JULHO",0.0087719298245614
"89",70471,"UNIVERSIDADE CRUZEIRO DO SUL",0.298507462686567
"90",77484,"UNIVERSIDADE PAULISTA",0.151515151515152
"91",80638,"UNIVERSIDADE FEDERAL DE GOIÁS",0.0352941176470588
"92",96181,"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO",0.0510204081632653
"93",99306,"UNIVERSIDADE FEDERAL DO CEARÁ",0.0158730158730159
"94",100822,"UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI",0.106382978723404
"95",101086,"UNIVERSIDADE FEDERAL DE PERNAMBUCO",0.03
"96",101836,"UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO",0.037037037037037
"97",105966,"FACULDADE FUCAPE",0.032258064516129
"98",110332,"FACULDADE IBS",0.305555555555556
"99",112676,"UNIVERSIDADE FEDERAL DE SÃO CARLOS",0.0677966101694915
"100",113291,"FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA",0.148148148148148
"101",115460,"UNIVERSIDADE PAULISTA",0.266666666666667
"102",118690,"FACULDADE ESAMC CAMPINAS",0.162790697674419
"103",120593,"FACULDADE ESAMC SANTOS",0.2
"104",121677,"UNIVERSIDADE FEDERAL DE OURO PRETO",0.115384615384615
"105",122152,"CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS",0.246200607902736
"106",122564,"UNIVERSIDADE PAULISTA",0.279569892473118
"107",1077609,"UNIVERSIDADE FEDERAL FLUMINENSE",0.0487804878048781
"108",1083678,"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO",0.0666666666666667
"109",1103695,"FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA",0.175438596491228
"110",1113667,"UNIVERSIDADE FEDERAL DE PELOTAS",0.101694915254237
"111",1128677,"UNIVERSIDADE FEDERAL DE SÃO PAULO",0.119565217391304
"112",1151168,"UNIVERSIDADE FEDERAL DE ALAGOAS",0.02
"113",1161235,"UNIVERSIDADE FEDERAL DE ALFENAS",0.142857142857143
"114",1172805,"FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS",0.117647058823529
"115",1178683,"UNIVERSIDADE FEDERAL DE JUIZ DE FORA",0.123076923076923
"116",1183789,"UNIVERSIDADE FEDERAL DO OESTE DO PARÁ",0.0652173913043478
"117",1259654,"CENTRO UNIVERSITÁRIO HERMINIO OMETTO",0.114754098360656
"118",1262461,"UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ",0.151515151515152
"119",1284953,"Centro Universitário das Américas",0.166666666666667
"120",1315485,"UNIVERSIDADE DO ESTADO DO AMAZONAS",0.24
"121",1324034,"UNIVERSIDADE PAULISTA",0.198198198198198
"122",1374709,"UNIVERSIDADE ANHEMBI MORUMBI",0.342465753424658
"123",1374710,"UNIVERSIDADE ANHEMBI MORUMBI",0.180722891566265
"124",1420128,"UNIVERSIDADE SÃO JUDAS TADEU",0.214285714285714
"125",1420138,"UNIVERSIDADE SÃO JUDAS TADEU",0.142857142857143
"126",1427565,"UNIVERSIDADE CRUZEIRO DO SUL",0.356164383561644
"127",1443406,"UNIVERSIDADE PAULISTA",0.219512195121951
"128",1443413,"UNIVERSIDADE PAULISTA",0.136363636363636
"129",1443414,"UNIVERSIDADE PAULISTA",0.166666666666667
"130",1443418,"UNIVERSIDADE PAULISTA",0.141025641025641
"131",5000072,"UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA",0.0384615384615385
"132",5000387,"UNIVERSIDADE FEDERAL DA FRONTEIRA SUL",0.171875
